release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3,ROI,ROI_ratio,decade,decade_label,budget_category
2009,9,6.7,PG-13,Angels & Demons,150000000.0,138,Sony Pictures,485930816.0,133375846.0,Action,Mystery,Thriller,3.2395387733333334,3.2395387733333334,2000,2000s,Alto (100-200M)
2009,10,7.7,R,The Hangover ,35000000.0,100,Warner Bros.,468812793.0,277322503.0,Comedy,None,None,13.394651228571428,13.394651228571428,2000,2000s,Bajo (<50M)
2008,1,9.0,PG-13,The Dark Knight,185000000.0,152,Warner Bros.,1003045358.0,533345358.0,Action,Crime,Drama,5.4218668,5.4218668,2000,2000s,Alto (100-200M)
2008,2,6.1,PG-13,Indiana Jones and the Kingdom of the Crystal Skull,185000000.0,122,Paramount Pictures,790653942.0,317101119.0,Action,Adventure,None,4.273805091891892,4.273805091891892,2000,2000s,Alto (100-200M)
2008,3,7.5,PG,Kung Fu Panda,130000000.0,92,DreamWorks,631744560.0,215434591.0,Animation,Action,Adventure,4.859573538461539,4.859573538461539,2000,2000s,Alto (100-200M)
2008,4,6.4,PG-13,Hancock,150000000.0,92,Sony Pictures,629443428.0,227946274.0,Action,Fantasy,None,4.19628952,4.19628952,2000,2000s,Alto (100-200M)
2008,5,6.4,PG-13,Mamma Mia!,52000000.0,108,Universal Pictures,609841637.0,144130063.0,Comedy,Musical,Romance,11.727723788461539,11.727723788461539,2000,2000s,Medio (50-100M)
2008,6,6.6,PG,Madagascar: Escape 2 Africa,150000000.0,89,DreamWorks,603900354.0,180010950.0,Animation,Adventure,Comedy,4.02600236,4.02600236,2000,2000s,Alto (100-200M)
2008,7,6.6,PG-13,Quantum of Solace,200000000.0,106,Sony Pictures,589580482.0,168368427.0,Action,Adventure,Thriller,2.94790241,2.94790241,2000,2000s,Alto (100-200M)
2008,8,7.9,PG-13,Iron Man ,140000000.0,126,Paramount Pictures,585366247.0,318604126.0,Action,Adventure,Sci-Fi,4.181187478571428,4.181187478571428,2000,2000s,Alto (100-200M)
2008,9,8.4,G,WALL·E,180000000.0,98,Walt Disney ,521311860.0,223808164.0,Animation,Adventure,Family,2.896177,2.896177,2000,2000s,Alto (100-200M)
2008,10,6.5,PG,The Chronicles of Narnia: Prince Caspian,225000000.0,150,Walt Disney ,419665568.0,141621490.0,Action,Adventure,Family,1.8651803022222222,1.8651803022222222,2000,2000s,Muy Alto (>200M)
2007,1,7.1,PG-13,Pirates of the Caribbean: At World's End,300000000.0,169,Walt Disney ,960996492.0,309420425.0,Action,Adventure,Fantasy,3.20332164,3.20332164,2000,2000s,Muy Alto (>200M)
2007,2,7.5,PG-13,Harry Potter and the Order of the Phoenix,150000000.0,138,Warner Bros.,941676843.0,292004738.0,Action,Adventure,Family,6.27784562,6.27784562,2000,2000s,Alto (100-200M)
2007,3,6.2,PG-13,Spider-Man 3,258000000.0,139,Sony Pictures,894983373.0,336530303.0,Action,Sci-Fi,None,3.4689278023255814,3.4689278023255814,2000,2000s,Muy Alto (>200M)
2007,4,6.0,PG,Shrek the Third,160000000.0,93,DreamWorks,813367380.0,322719944.0,Animation,Adventure,Comedy,5.083546125,5.083546125,2000,2000s,Alto (100-200M)
2007,5,7.0,PG-13,Transformers,150000000.0,144,DreamWorks,709709780.0,319246193.0,Action,Adventure,Sci-Fi,4.7313985333333335,4.7313985333333335,2000,2000s,Alto (100-200M)
2007,6,8.0,G,Ratatouille,150000000.0,111,Walt Disney ,623726085.0,206445654.0,Animation,Adventure,Comedy,4.1581739,4.1581739,2000,2000s,Alto (100-200M)
2007,7,7.2,PG-13,I Am Legend,150000000.0,101,Warner Bros.,585410052.0,256393010.0,Adventure,Drama,Sci-Fi,3.90273368,3.90273368,2000,2000s,Alto (100-200M)
2007,8,7.3,PG-13,The Simpsons Movie,75000000.0,87,Twentieth Century Fox,536414270.0,183135014.0,Animation,Adventure,Comedy,7.152190266666667,7.152190266666667,2000,2000s,Medio (50-100M)
2007,9,6.5,PG,National Treasure: Book of Secrets,130000000.0,124,Walt Disney ,459242249.0,219964115.0,Action,Adventure,Mystery,3.532632684615385,3.532632684615385,2000,2000s,Alto (100-200M)
2007,10,7.6,R,300,65000000.0,117,Warner Bros.,456068181.0,210614939.0,Action,Drama,None,7.016433553846154,7.016433553846154,2000,2000s,Medio (50-100M)
2006,1,7.3,PG-13,Pirates of the Caribbean: Dead Man's Chest,225000000.0,151,Walt Disney ,1066179725.0,423315812.0,Action,Adventure,Fantasy,4.7385765555555555,4.7385765555555555,2000,2000s,Muy Alto (>200M)
2006,2,6.6,PG-13,The Da Vinci Code,125000000.0,149,Sony Pictures,760006945.0,217536138.0,Action,Mystery,Thriller,6.08005556,6.08005556,2000,2000s,Alto (100-200M)
2006,3,6.8,PG,Ice Age: The Meltdown,80000000.0,91,Twentieth Century Fox,660998756.0,195330621.0,Animation,Adventure,Comedy,8.26248445,8.26248445,2000,2000s,Medio (50-100M)
2006,4,8.0,PG-13,Casino Royale,150000000.0,144,Sony Pictures,606099584.0,167445960.0,Action,Adventure,Thriller,4.040663893333333,4.040663893333333,2000,2000s,Alto (100-200M)
2006,5,6.4,PG,Night at the Museum,110000000.0,108,Twentieth Century Fox,574480841.0,250863268.0,Adventure,Comedy,Family,5.2225531,5.2225531,2000,2000s,Alto (100-200M)
